Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.14     0.00      192     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > >::base() const
  0.00      0.14     0.00      168     0.00     0.00  __gnu_cxx::__normal_iterator<std::optional<Piece> const*, std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >::__normal_iterator(std::optional<Piece> const* const&)
  0.00      0.14     0.00      166     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_M_get_Tp_allocator()
  0.00      0.14     0.00      163     0.00     0.00  __gnu_cxx::new_allocator<std::optional<Piece> >::~new_allocator()
  0.00      0.14     0.00      163     0.00     0.00  std::allocator<std::optional<Piece> >::~allocator()
  0.00      0.14     0.00      162     0.00     0.00  __gnu_cxx::new_allocator<std::optional<Piece> >::new_allocator(__gnu_cxx::new_allocator<std::optional<Piece> > const&)
  0.00      0.14     0.00      162     0.00     0.00  std::allocator<std::optional<Piece> >::allocator(std::allocator<std::optional<Piece> > const&)
  0.00      0.14     0.00      160     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >* std::__addressof<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > >(std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >&)
  0.00      0.14     0.00      117     0.00     0.00  Coords&& std::forward<Coords>(std::remove_reference<Coords>::type&)
  0.00      0.14     0.00      114     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<Coords, std::allocator<Coords> >::_Vector_impl_data const&)
  0.00      0.14     0.00      108     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl_data::_M_copy_data(std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_Vector_impl_data const&)
  0.00      0.14     0.00      107     0.00     0.00  std::_Vector_base<Coords, std::allocator<Coords> >::_M_get_Tp_allocator()
  0.00      0.14     0.00       95     0.00     0.00  bool __gnu_cxx::operator!=<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > >(__gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > > const&, __gnu_cxx::__normal_iterator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > const*, std::vector<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > > > const&)
  0.00      0.14     0.00       95     0.00     0.00  std::_Vector_base<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >, std::allocator<std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > > > >::_M_get_Tp_allocator()
  0.00      0.14     0.00       88     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::size() const
  0.00      0.14     0.00       84     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::end() const
  0.00      0.14     0.00       84     0.00     0.00  std::vector<std::optional<Piece>, std::allocator<std::optional<Piece> > >::begin() const
  0.00      0.14     0.00       83     0.00     0.00  Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&)
  0.00      0.14     0.00       82     0.00     0.00  __gnu_cxx::new_allocator<std::optional<Piece> >::_M_max_size() const
  0.00      0.14     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<std::optional<Piece> >::deallocate(std::optional<Piece>*, unsigned long)
  0.00      0.14     0.00       81     0.00     0.00  __gnu_cxx::new_allocator<std::optional<Piece> >::allocate(unsigned long, void const*)
  0.00      0.14     0.00       81     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::optional<Piece>*>(std::optional<Piece>*, std::optional<Piece>*)
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_M_allocate(unsigned long)
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_Vector_impl::_Vector_impl(std::allocator<std::optional<Piece> > const&)
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_Vector_impl::~_Vector_impl()
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_M_deallocate(std::optional<Piece>*, unsigned long)
  0.00      0.14     0.00       81     0.00     0.00  std::_Vector_base<std::optional<Piece>, std::allocator<std::optional<Piece> > >::_M_create_storage(unsigned long)
